,index,tweetUrl,renderedContent,userId,source,media,username,displayname,rawDescription,verified,followersCount,location,protected,profileUrl,eng,stance
0,2425,https://twitter.com/SusiThirugnanam/status/1353898861459193857,"Support for FarmersProtest
#FarmersProtest #TeamKisan #FarmersDemandJustice #StandWithFarmers #BoycottAdaniAmbani  #Congress #dmkwithfarmers #FarmersProtests #tractorParade #TractorMarch #KisanTractorRally #DoctorsForFarmers twitter.com/VijayadharaniM…",77355435,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,SusiThirugnanam,punnagaiseithi.com,"Constructive media team based in Chennai, India",FALSE,339,"Chennai, India 99400 90596",FALSE,https://twitter.com/SusiThirugnanam,1,
1,1101,https://twitter.com/ferozwala/status/1354106289408925699,"#BREAKING 

Police cut off Red Fort power 🔌⚡️supply to clear it of protesters 
sptnkne.ws/FeYH 
#India #FarmersProtest #TractorRally  #TractorMarchDelhi  

#SputnikBreaking #BreakingNews https://t.co/LTJ34sC3H6",52571677,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1354106142293696512/pu/img/bFFO_ZX9c9kHR_Gv.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1354106142293696512/pu/vid/720x404/3b-cRfPClTFLHGCh.mp4?tag=10', 'bitrate': 832000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1354106142293696512/pu/pl/3nCo5kJCQFFSIeUS.m3u8?tag=10', 'bitrate': None}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1354106142293696512/pu/vid/480x270/g2743oJiZGeg8D-D.mp4?tag=10', 'bitrate': 256000}], 'duration': 4.0, 'type': 'video'}]",ferozwala,🌎 Sarwar 🌐,W pirsarwarras,FALSE,1792,E,FALSE,https://twitter.com/ferozwala,1,neutral
2,6211,https://twitter.com/Vikas_Kaha_Hai/status/1354003733571461120,"Farmers #RepublicDay Tractor March 🇮🇳🇮🇳🇮🇳

Support You Farmers 

#FarmersProstests
#RepublicDay2021 #tractorParade #TractorMarchDelhi #Mumbai #TractorsVsTraitors #Delhi #Farmers #HistoricTractorMarch #KisanAndolan #Khalistani #FarmersProtest https://t.co/q5aFfDPJaq",115378940,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'previewUrl': 'https://pbs.twimg.com/media/EspjNUjUwAEvBcg?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EspjNUjUwAEvBcg?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/EspjNkpUcAI2NCc?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EspjNkpUcAI2NCc?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/EspjNytUwAE3R0Z?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EspjNytUwAE3R0Z?format=jpg&name=large', 'type': 'photo'}, {'previewUrl': 'https://pbs.twimg.com/media/EspjOAfUYAAVB19?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EspjOAfUYAAVB19?format=jpg&name=large', 'type': 'photo'}]",Vikas_Kaha_Hai,Karma_Bites_Back ☆,In Unity there is strength; We can move mountains when we're united  --Without unity we are victims. Stay united.🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,FALSE,124,Mumbai,FALSE,https://twitter.com/Vikas_Kaha_Hai,1,for
3,6127,https://twitter.com/vick_craz/status/1354006086701879297,#TractorsVsTraitors you support  to farmers protest? #RepublicDay #FarmersProtest,3301383610,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,vick_craz,Vick craz,"அரசியல் பிடிக்கும், அம்பேத்கர், பெரியார், அண்ணா, கலைஞர்,  ..... பிடிக்கும்.

இது எனது கருத்து.... 
கற்றது DME(swc)., BE( mech).

  _ கடவுள் ஒன்று பிரிவுகள் பல _",FALSE,247,"Coimbatore, India",FALSE,https://twitter.com/vick_craz,1,
4,3493,https://twitter.com/SofTOUCHchief/status/1354065287448911873,"An uncalled-for happening.

#FarmersProtest twitter.com/IndiaToday/sta…",111080167,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,SofTOUCHchief,Santhosh John (Payyappilly)/Chief,"An Indian micro-entrepreneur, Advtg. & Mktg. Professional. Tweets & Retweets are personal views & not endorsements. Nothing official about it.",FALSE,343,Goa | Thiruv'puram | Ernakulam,FALSE,https://twitter.com/SofTOUCHchief,1,
5,369,https://twitter.com/dna/status/1354009910606876672,"#Live updates: Internet services suspended in various parts of Delhi-NCR after violence breaks out

#FarmersProtest #TractorMarchDelhi #tractorParade 

#ZeeTrafficUpdate Entry/exit gates of all stations on grey line are closed.

dnaindia.com/india/report-t…",17710740,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,dna,DNA,"Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt",TRUE,2229466,India,FALSE,https://twitter.com/dna,1,neutral
6,6032,https://twitter.com/mehr61931/status/1353993848159145988,"History repeats itself. The Khalsa flag was last hoisted in Delhi in 1783 following the defeat of the Mughals. Today the Sikhs replaced Indian Flag with the Khalsa Flag. 
#FarmersProtest
#Delhi
#RedFort
#RepublicDay
#HistoricTractorMarch
#IndianRepublicBlackDay
#FarmersProstests twitter.com/ANI/status/135… https://t.co/mFN8DSoUJD",4687089823,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'previewUrl': 'https://pbs.twimg.com/media/EspaOoGW8AAiS73?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/EspaOoGW8AAiS73?format=jpg&name=large', 'type': 'photo'}]",mehr61931,Mehr Hassan Ahmed,A neophyte of the 5th generation warfare.,FALSE,118,"Islamabad, Pakistan",FALSE,https://twitter.com/mehr61931,1,for
7,5748,https://twitter.com/PranavSunat/status/1354012424681082883,#OPINION: People who don't know about the on ground situation of the #FarmersProtest are just mouthpieces of television news anchors and have no real opinion of their own.,2925641185,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,PranavSunat,Pranav Sunat,Formula One Enthusiast,FALSE,27,"Pune, India",FALSE,https://twitter.com/PranavSunat,1,for
8,1543,https://twitter.com/KaurDosanjh1979/status/1354089477304705030,"@Purushottam8761 #TractorsVsTraitors Red fort is part of Sikh history, why are you offended by the Sikh flag? They should have not placed the flag bcs it took away the farmers attention. But the question is why do you #RSS hate Sikhs so much? We have done more for India than RSS #FarmersProtest",538638801,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,KaurDosanjh1979,Red 💚,,FALSE,435,,FALSE,https://twitter.com/KaurDosanjh1979,1,neutral
9,1133,https://twitter.com/ndtv/status/1354028223533731842,"Farmer Died As Tractor Overturned During Protests In Central Delhi: Cops 

NDTV's Sunil Prabhu reports

#RepublicDay #FarmersProtest #TractorRally

Read more: ndtv.com/india-news/far… https://t.co/wyoXUM5qOs",37034483,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>","[{'thumbnailUrl': 'https://pbs.twimg.com/amplify_video_thumb/1354026958275768320/img/vXRR1z0af-VcbGR4.jpg', 'variants': [{'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1354026958275768320/vid/480x360/sr6m2pGz4UKdMklZ.mp4?tag=13', 'bitrate': 832000}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1354026958275768320/vid/640x480/5Od_O8TzLdns1bxp.mp4?tag=13', 'bitrate': 2176000}, {'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1354026958275768320/vid/360x270/ax2ugOKVDMGGkv9b.mp4?tag=13', 'bitrate': 288000}, {'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1354026958275768320/pl/ukRUvQv4O3pMgNUa.m3u8?tag=13', 'bitrate': None}], 'duration': 111.018, 'type': 'video'}]",ndtv,NDTV,"Breaking news alerts from India.

Instagram: https://t.co/TDCRCVHlmd
YouTube: https://t.co/ocjlisfywV",TRUE,14916347,India,FALSE,https://twitter.com/ndtv,1,for
10,7430,https://twitter.com/deerashore/status/1353873291354787840,"@PMOIndia @AgriGoI Millions of farmers say agri laws will further undermine, disenfranchise n subjugate their livelihoods while 245 non-farming parliament members shout the laws will benefit farmers...hhmm numbers dont lie! #FarmersProtest #IStandWithFarmers #TractorRally",74796951,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,deerashore,Deepa,no good thing can be done without obstruction and it is those who persevere till the end that succeed,FALSE,44,Jersey,FALSE,https://twitter.com/deerashore,1,for
11,4403,https://twitter.com/_Amrit_Athwalx/status/1354037912405499904,Seeing my Twitter feed full of posts about farmers really makes me so proud #FarmersProtest #KisanTractorRally #kisaanektazindabaad,3349058945,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,_Amrit_Athwalx,Amrit Kaur Athwal,,FALSE,68,,FALSE,https://twitter.com/_Amrit_Athwalx,1,against
